transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000072,2025-01-15T20:53:26.000Z,C5133,P006,Coffee Mug,Kitchen,4,14.99,59.96,Raleigh,Credit Card
TXN000073,2025-01-13T13:14:41.000Z,C2124,P012,Running Shoes,Apparel,5,79.99,399.95,Charleston,Debit Card
TXN000074,2025-01-17T10:15:08.000Z,C8758,P004,Notebook,Office Supplies,1,6.75,6.75,Orlando,Debit Card
TXN000075,2025-01-19T13:10:38.000Z,C2876,P008,Desk Lamp,Home,3,34.5,103.5,Nashville,Credit Card
TXN000076,2025-01-15T17:43:58.000Z,C7149,P010,Backpack,Accessories,1,49.99,49.99,Dallas,Debit Card
TXN000077,2025-01-18T21:40:15.000Z,C2669,P002,Usb-c Cable,Electronics,5,12.5,62.5,Dallas,Google Pay
TXN000078,2025-01-19T17:50:02.000Z,C6688,P013,Yoga  Mat,Fitness,1,29.99,29.99,Dallas,Cash
TXN000079,2025-01-18T13:00:54.000Z,C7882,P002,Usb-c Cable,Electronics,5,12.5,62.5,Charleston,Apple Pay
TXN000080,2025-01-18T10:27:11.000Z,C9548,P006,Coffee Mug,Kitchen,4,14.99,59.96,Orlando,Google Pay
TXN000081,2025-01-16T14:52:46.000Z,C5397,P013,Yoga Mat,Fitness,4,29.99,119.96,Atlanta,Credit Card
TXN000082,2025-01-14T20:29:36.000Z,C7209,P005,Ballpoint Pen Pack,Office Supplies,4,8.49,33.96,Charleston,Apple Pay
TXN000083,2025-01-14T15:13:22.000Z,C5232,P014,Protein Bar,Food,3,2.49,7.470000000000001,Nashville,Google Pay
TXN000084,2025-01-17T08:33:12.000Z,C2402,P012,Running  Shoes,Apparel,3,79.99,239.96999999999997,Dallas,Apple Pay
TXN000085,2025-01-19T11:44:30.000Z,C9041,P008,Desk Lamp,Home,5,34.5,172.5,Charleston,Credit Card
TXN000086,2025-01-16T19:15:19.000Z,C7046,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Orlando,Google Pay
TXN000087,2025-01-18T16:21:22.000Z,C8434,P006,Coffee Mug,Kitchen,4,14.99,59.96,Nashville,Cash
TXN000088,2025-01-18T11:20:07.000Z,C9779,P004,Notebook,Office Supplies,1,6.75,6.75,Atlanta,Debit Card
TXN000089,2025-01-15T19:37:48.000Z,C9595,P012,Running Shoes,Apparel,4,79.99,319.96,Charleston,Debit Card
TXN000090,2025-01-15T10:19:00.000Z,C9751,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Nashville,Credit Card
TXN000091,2025-01-15T19:08:40.000Z,C9042,P001,Wireless Mouse,Electronics,5,24.99,124.94999999999999,Charleston,Google Pay
TXN000092,2025-01-16T15:21:11.000Z,C1841,P005,Ballpoint Pen Pack,Office Supplies,4,8.49,33.96,Raleigh,Credit Card
TXN000093,2025-01-16T15:04:36.000Z,C1878,P014,Protein Bar,Food,1,2.49,2.49,Atlanta,Google Pay
TXN000094,2025-01-14T09:35:48.000Z,C7818,P005,Ballpoint  Pen  Pack,Office Supplies,1,8.49,8.49,Orlando,Apple Pay
TXN000095,2025-01-15T21:37:27.000Z,C6003,P008,Desk Lamp,Home,4,34.5,138,Orlando,Credit Card
TXN000096,2025-01-18T11:16:42.000Z,C2330,P013,Yoga Mat,Fitness,2,29.99,59.98,Atlanta,Debit Card
TXN000097,2025-01-14T08:26:28.000Z,C8699,P009,Phone Charger,Electronics,1,16.99,16.99,Charleston,Debit Card
TXN000098,2025-01-18T21:29:04.000Z,C4824,P005,Ballpoint Pen Pack,Office Supplies,3,8.49,25.47,Dallas,Google Pay
TXN000099,2025-01-16T09:34:14.000Z,C3441,P011,T-shirt,Apparel,2,18,36,Atlanta,Credit Card
TXN000100,2025-01-19T12:38:47.000Z,C5728,P001,Wireless Mouse,Electronics,2,24.99,49.98,Charleston,Apple Pay
TXN000001,2025-01-06T19:17:15.000Z,C4657,P011,T-shirt,Apparel,1,18,18,Dallas,Credit Card
TXN000002,2025-01-06T17:27:02.000Z,C1488,P011,T-shirt,Apparel,5,18,90,Atlanta,Debit Card
TXN000003,2025-01-06T16:12:45.000Z,C9928,P009,Phone  Charger,Electronics,5,16.99,84.94999999999999,Atlanta,Apple Pay
TXN000004,2025-01-12T21:00:48.000Z,C3615,P010,Backpack,Accessories,3,49.99,149.97,Nashville,Cash
TXN000005,2025-01-12T13:06:05.000Z,C7224,P003,Mechanical Keyboard,Electronics,2,89.99,179.98,Nashville,Cash
TXN000006,2025-01-12T08:46:29.000Z,C9785,P010,Backpack,Accessories,3,49.99,149.97,Raleigh,Credit Card
TXN000007,2025-01-12T18:39:56.000Z,C6925,P009,Phone  Charger,Electronics,3,16.99,50.97,Dallas,Credit Card
TXN000008,2025-01-12T12:05:54.000Z,C4814,P001,Wireless Mouse,Electronics,2,24.99,49.98,Raleigh,Cash
TXN000009,2025-01-07T13:22:13.000Z,C5374,P008,Desk Lamp,Home,3,34.5,103.5,Orlando,Debit Card
TXN000010,2025-01-07T15:24:17.000Z,C4598,P009,Phone Charger,Electronics,2,16.99,33.98,Charleston,Debit Card
TXN000011,2025-01-12T13:25:17.000Z,C2084,P014,Protein  Bar,Food,1,2.49,2.49,Orlando,Cash
TXN000012,2025-01-09T18:29:09.000Z,C5339,P004,Notebook,Office Supplies,4,6.75,27,Atlanta,Google Pay
TXN000013,2025-01-11T17:27:57.000Z,C7543,P009,Phone Charger,Electronics,3,16.99,50.97,Atlanta,Debit Card
TXN000014,2025-01-06T20:03:55.000Z,C2796,P009,Phone Charger,Electronics,4,16.99,67.96,Dallas,Debit Card
TXN000015,2025-01-10T09:24:24.000Z,C8668,P013,Yoga Mat,Fitness,4,29.99,119.96,Orlando,Credit Card
TXN000016,2025-01-11T16:48:17.000Z,C6573,P011,T-shirt,Apparel,1,18,18,Nashville,Apple Pay
TXN000017,2025-01-06T19:56:46.000Z,C5315,P003,Mechanical Keyboard,Electronics,4,89.99,359.96,Orlando,Credit Card
TXN000018,2025-01-12T18:32:38.000Z,C4258,P014,Protein Bar,Food,3,2.49,7.470000000000001,Nashville,Debit Card
TXN000019,2025-01-06T17:20:31.000Z,C1319,P009,Phone Charger,Electronics,5,16.99,84.94999999999999,Nashville,Cash
TXN000020,2025-01-07T17:05:05.000Z,C8962,P004,Notebook,Office Supplies,1,6.75,6.75,Orlando,Debit Card
TXN000021,2025-01-10T10:16:33.000Z,C7932,P003,Mechanical  Keyboard,Electronics,4,89.99,359.96,Orlando,Debit Card
TXN000022,2025-01-09T18:41:23.000Z,C8177,P012,Running Shoes,Apparel,3,79.99,239.96999999999997,Charleston,Debit Card
TXN000023,2025-01-08T08:37:35.000Z,C4770,P004,Notebook,Office Supplies,1,6.75,6.75,Charleston,Credit Card
TXN000024,2025-01-07T09:57:02.000Z,C6413,P012,Running Shoes,Apparel,1,79.99,79.99,Orlando,Debit Card
TXN000025,2025-01-07T16:08:46.000Z,C8744,P005,Ballpoint  Pen  Pack,Office Supplies,4,8.49,33.96,Raleigh,Apple Pay
TXN000026,2025-01-06T18:27:22.000Z,C7939,P004,Notebook,Office Supplies,1,6.75,6.75,Raleigh,Credit Card
TXN000027,2025-01-06T14:46:21.000Z,C2790,P011,T-shirt,Apparel,1,18,18,Atlanta,Debit Card
TXN000028,2025-01-07T14:11:17.000Z,C8579,P009,Phone  Charger,Electronics,4,16.99,67.96,Charleston,Apple Pay
TXN000029,2025-01-06T08:41:34.000Z,C1241,P013,Yoga Mat,Fitness,5,29.99,149.95,Atlanta,Debit Card
TXN000030,2025-01-09T11:55:25.000Z,C1960,P007,Water Bottle,Kitchen,4,19.99,79.96,Raleigh,Credit Card
TXN000031,2025-01-12T20:29:18.000Z,C7930,P007,Water Bottle,Kitchen,3,19.99,59.97,Atlanta,Debit Card
TXN000032,2025-01-06T17:47:34.000Z,C1998,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Charleston,Credit Card
TXN000033,2025-01-10T21:33:10.000Z,C1931,P010,Backpack,Accessories,4,49.99,199.96,Atlanta,Credit Card
TXN000034,2025-01-11T21:15:25.000Z,C2964,P010,Backpack,Accessories,1,49.99,49.99,Orlando,Google Pay
TXN000035,2025-01-06T14:42:37.000Z,C9565,P001,Wireless Mouse,Electronics,5,24.99,124.94999999999999,Nashville,Debit Card
TXN000036,2025-01-07T12:25:08.000Z,C5915,P011,T-shirt,Apparel,3,18,54,Nashville,Credit Card
TXN000037,2025-01-10T17:06:04.000Z,C9808,P001,Wireless  Mouse,Electronics,4,24.99,99.96,Orlando,Cash
TXN000038,2025-01-06T11:23:18.000Z,C3584,P003,Mechanical Keyboard,Electronics,3,89.99,269.96999999999997,Orlando,Cash
TXN000039,2025-01-06T18:52:35.000Z,C5905,P010,Backpack,Accessories,5,49.99,249.95000000000002,Atlanta,Cash
TXN000040,2025-01-11T16:09:17.000Z,C5616,P002,Usb-c  Cable,Electronics,1,12.5,12.5,Dallas,Cash
TXN000041,2025-01-10T15:16:57.000Z,C1832,P004,Notebook,Office Supplies,3,6.75,20.25,Dallas,Apple Pay
TXN000042,2025-01-06T08:21:49.000Z,C3143,P014,Protein Bar,Food,3,2.49,7.470000000000001,Atlanta,Apple Pay
TXN000043,2025-01-10T08:07:04.000Z,C3442,P009,Phone Charger,Electronics,4,16.99,67.96,Nashville,Google Pay
TXN000044,2025-01-09T10:02:19.000Z,C6974,P009,Phone Charger,Electronics,2,16.99,33.98,Nashville,Debit Card
TXN000045,2025-01-11T09:22:49.000Z,C7658,P011,T-shirt,Apparel,2,18,36,Atlanta,Debit Card
TXN000046,2025-01-09T08:11:47.000Z,C6442,P013,Yoga  Mat,Fitness,2,29.99,59.98,Dallas,Debit Card
TXN000047,2025-01-12T19:06:24.000Z,C1634,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Atlanta,Debit Card
TXN000048,2025-01-08T12:52:50.000Z,C4728,P014,Protein  Bar,Food,4,2.49,9.96,Charleston,Debit Card
TXN000049,2025-01-08T21:04:49.000Z,C5573,P007,Water Bottle,Kitchen,3,19.99,59.97,Dallas,Google Pay
TXN000050,2025-01-08T08:07:56.000Z,C5279,P007,Water Bottle,Kitchen,5,19.99,99.94999999999999,Orlando,Cash
TXN000151,2025-01-29T17:09:04.000Z,C3067,P002,Usb-c Cable,Electronics,1,12.5,12.5,Orlando,Google Pay
TXN000152,2025-01-30T17:33:18.000Z,C8433,P009,Phone  Charger,Electronics,3,16.99,50.97,Charleston,Credit Card
TXN000153,2025-02-01T21:13:27.000Z,C8398,P014,Protein  Bar,Food,5,2.49,12.450000000000001,Raleigh,Cash
TXN000154,2025-01-30T14:46:06.000Z,C6120,P014,Protein  Bar,Food,4,2.49,9.96,Nashville,Cash
TXN000155,2025-02-01T15:04:05.000Z,C2398,P006,Coffee Mug,Kitchen,2,14.99,29.98,Raleigh,Credit Card
TXN000156,2025-02-02T10:35:03.000Z,C6400,P012,Running Shoes,Apparel,3,79.99,239.96999999999997,Raleigh,Cash
TXN000157,2025-02-02T19:03:18.000Z,C6119,P014,Protein Bar,Food,4,2.49,9.96,Charleston,Google Pay
TXN000158,2025-01-28T18:30:14.000Z,C2773,P009,Phone Charger,Electronics,2,16.99,33.98,Orlando,Cash
TXN000159,2025-01-31T11:51:27.000Z,C1430,P002,Usb-c Cable,Electronics,3,12.5,37.5,Charleston,Debit Card
TXN000160,2025-01-29T13:00:11.000Z,C3347,P005,Ballpoint  Pen  Pack,Office Supplies,3,8.49,25.47,Charleston,Debit Card
TXN000161,2025-01-27T19:33:13.000Z,C7163,P012,Running  Shoes,Apparel,1,79.99,79.99,Raleigh,Cash
TXN000162,2025-01-29T19:20:49.000Z,C2391,P003,Mechanical Keyboard,Electronics,3,89.99,269.96999999999997,Atlanta,Debit Card
TXN000163,2025-01-27T18:05:17.000Z,C8259,P013,Yoga  Mat,Fitness,5,29.99,149.95,Raleigh,Google Pay
TXN000164,2025-01-29T11:48:32.000Z,C2864,P008,Desk Lamp,Home,4,34.5,138,Raleigh,Credit Card
TXN000165,2025-01-30T16:42:19.000Z,C1744,P005,Ballpoint  Pen  Pack,Office Supplies,5,8.49,42.45,Raleigh,Google Pay
TXN000166,2025-01-28T12:13:49.000Z,C3248,P001,Wireless Mouse,Electronics,1,24.99,24.99,Nashville,Cash
TXN000167,2025-01-30T19:27:11.000Z,C3116,P002,Usb-c  Cable,Electronics,1,12.5,12.5,Orlando,Debit Card
TXN000168,2025-02-02T18:51:22.000Z,C2180,P009,Phone  Charger,Electronics,5,16.99,84.94999999999999,Dallas,Credit Card
TXN000169,2025-01-30T09:55:20.000Z,C8033,P007,Water  Bottle,Kitchen,1,19.99,19.99,Dallas,Apple Pay
TXN000170,2025-01-30T08:20:10.000Z,C8538,P005,Ballpoint Pen Pack,Office Supplies,1,8.49,8.49,Charleston,Apple Pay
TXN000171,2025-01-28T14:37:25.000Z,C9584,P014,Protein Bar,Food,1,2.49,2.49,Raleigh,Cash
TXN000172,2025-01-28T13:49:10.000Z,C2251,P012,Running Shoes,Apparel,3,79.99,239.96999999999997,Orlando,Google Pay
TXN000173,2025-01-29T19:52:41.000Z,C3419,P004,Notebook,Office Supplies,3,6.75,20.25,Charleston,Debit Card
TXN000174,2025-01-28T17:09:48.000Z,C2234,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Dallas,Apple Pay
TXN000175,2025-02-02T17:28:43.000Z,C6295,P008,Desk Lamp,Home,5,34.5,172.5,Atlanta,Apple Pay
TXN000176,2025-01-30T18:19:50.000Z,C5500,P002,Usb-c Cable,Electronics,4,12.5,50,Nashville,Google Pay
TXN000177,2025-01-30T15:02:03.000Z,C7041,P002,Usb-c Cable,Electronics,3,12.5,37.5,Charleston,Credit Card
TXN000178,2025-01-31T14:29:37.000Z,C1672,P010,Backpack,Accessories,5,49.99,249.95000000000002,Orlando,Debit Card
TXN000179,2025-01-30T16:09:03.000Z,C8381,P006,Coffee Mug,Kitchen,5,14.99,74.95,Nashville,Credit Card
TXN000180,2025-01-27T11:45:28.000Z,C8199,P009,Phone Charger,Electronics,2,16.99,33.98,Nashville,Cash
TXN000181,2025-01-30T14:49:21.000Z,C1857,P015,Headphones,Electronics,3,59.99,179.97,Charleston,Cash
TXN000182,2025-02-01T14:18:16.000Z,C3463,P002,Usb-c Cable,Electronics,5,12.5,62.5,Charleston,Google Pay
TXN000183,2025-01-29T12:41:44.000Z,C7421,P011,T-shirt,Apparel,2,18,36,Orlando,Credit Card
TXN000184,2025-01-30T18:50:21.000Z,C3093,P005,Ballpoint Pen Pack,Office Supplies,5,8.49,42.45,Dallas,Apple Pay
TXN000185,2025-01-27T13:19:11.000Z,C4509,P009,Phone Charger,Electronics,3,16.99,50.97,Raleigh,Debit Card
TXN000186,2025-01-28T09:18:54.000Z,C2657,P004,Notebook,Office Supplies,2,6.75,13.5,Dallas,Cash
TXN000187,2025-01-28T17:24:09.000Z,C3658,P015,Headphones,Electronics,5,59.99,299.95,Dallas,Google Pay
TXN000188,2025-02-01T15:02:26.000Z,C6968,P013,Yoga  Mat,Fitness,2,29.99,59.98,Raleigh,Google Pay
TXN000189,2025-01-28T16:15:19.000Z,C8684,P005,Ballpoint  Pen  Pack,Office Supplies,4,8.49,33.96,Nashville,Google Pay
TXN000190,2025-02-02T12:49:24.000Z,C9239,P008,Desk  Lamp,Home,4,34.5,138,Atlanta,Debit Card
TXN000191,2025-01-28T21:16:03.000Z,C8873,P013,Yoga Mat,Fitness,5,29.99,149.95,Orlando,Credit Card
TXN000192,2025-02-02T09:18:05.000Z,C3626,P012,Running Shoes,Apparel,5,79.99,399.95,Raleigh,Google Pay
TXN000193,2025-01-27T11:52:28.000Z,C6727,P003,Mechanical Keyboard,Electronics,4,89.99,359.96,Raleigh,Credit Card
TXN000194,2025-01-29T11:24:05.000Z,C7142,P007,Water  Bottle,Kitchen,5,19.99,99.94999999999999,Charleston,Cash
TXN000195,2025-02-02T19:41:21.000Z,C3392,P015,Headphones,Electronics,1,59.99,59.99,Charleston,Cash
TXN000196,2025-02-01T21:08:48.000Z,C8685,P015,Headphones,Electronics,4,59.99,239.96,Orlando,Credit Card
TXN000197,2025-01-27T12:13:53.000Z,C3449,P015,Headphones,Electronics,1,59.99,59.99,Charleston,Cash
TXN000198,2025-01-27T08:15:26.000Z,C8489,P004,Notebook,Office Supplies,3,6.75,20.25,Charleston,Apple Pay
TXN000199,2025-01-27T18:32:36.000Z,C4963,P010,Backpack,Accessories,5,49.99,249.95000000000002,Nashville,Apple Pay
TXN000200,2025-01-29T11:36:26.000Z,C4068,P001,Wireless Mouse,Electronics,5,24.99,124.94999999999999,Orlando,Cash
TXN000101,2025-01-25T14:17:32.000Z,C9847,P012,Running Shoes,Apparel,3,79.99,239.96999999999997,Raleigh,Credit Card
TXN000102,2025-01-23T19:20:38.000Z,C5102,P010,Backpack,Accessories,1,49.99,49.99,Charleston,Debit Card
TXN000103,2025-01-24T08:48:43.000Z,C5415,P011,T-shirt,Apparel,5,18,90,Atlanta,Apple Pay
TXN000104,2025-01-22T10:37:27.000Z,C9056,P009,Phone Charger,Electronics,4,16.99,67.96,Raleigh,Cash
TXN000105,2025-01-22T18:06:54.000Z,C3634,P007,Water Bottle,Kitchen,3,19.99,59.97,Raleigh,Apple Pay
TXN000106,2025-01-26T20:35:02.000Z,C8451,P005,Ballpoint Pen Pack,Office Supplies,4,8.49,33.96,Nashville,Cash
TXN000107,2025-01-26T14:55:32.000Z,C1018,P006,Coffee Mug,Kitchen,1,14.99,14.99,Raleigh,Credit Card
TXN000108,2025-01-22T17:48:31.000Z,C8242,P004,Notebook,Office Supplies,5,6.75,33.75,Atlanta,Cash
TXN000109,2025-01-22T15:56:44.000Z,C8941,P009,Phone Charger,Electronics,2,16.99,33.98,Charleston,Google Pay
TXN000110,2025-01-25T10:19:35.000Z,C1224,P013,Yoga  Mat,Fitness,2,29.99,59.98,Charleston,Debit Card
TXN000111,2025-01-23T09:41:53.000Z,C3522,P014,Protein Bar,Food,1,2.49,2.49,Dallas,Cash
TXN000112,2025-01-23T21:30:30.000Z,C4993,P009,Phone Charger,Electronics,3,16.99,50.97,Orlando,Debit Card
TXN000113,2025-01-24T16:47:56.000Z,C3236,P007,Water Bottle,Kitchen,2,19.99,39.98,Nashville,Apple Pay
TXN000114,2025-01-22T21:00:18.000Z,C5891,P006,Coffee Mug,Kitchen,5,14.99,74.95,Atlanta,Apple Pay
TXN000115,2025-01-22T13:35:48.000Z,C9903,P009,Phone  Charger,Electronics,4,16.99,67.96,Raleigh,Cash
TXN000116,2025-01-25T11:36:24.000Z,C4826,P014,Protein  Bar,Food,2,2.49,4.98,Charleston,Cash
TXN000117,2025-01-25T20:24:24.000Z,C3492,P012,Running Shoes,Apparel,4,79.99,319.96,Charleston,Debit Card
TXN000118,2025-01-22T21:06:55.000Z,C8213,P009,Phone Charger,Electronics,5,16.99,84.94999999999999,Orlando,Apple Pay
TXN000119,2025-01-23T21:41:09.000Z,C2225,P001,Wireless Mouse,Electronics,2,24.99,49.98,Nashville,Cash
TXN000120,2025-01-25T09:54:21.000Z,C9742,P010,Backpack,Accessories,4,49.99,199.96,Nashville,Apple Pay
TXN000121,2025-01-20T17:04:15.000Z,C5708,P014,Protein  Bar,Food,5,2.49,12.450000000000001,Dallas,Credit Card
TXN000122,2025-01-26T18:45:55.000Z,C2646,P007,Water Bottle,Kitchen,1,19.99,19.99,Atlanta,Cash
TXN000123,2025-01-20T13:50:03.000Z,C5806,P015,Headphones,Electronics,1,59.99,59.99,Nashville,Apple Pay
TXN000124,2025-01-24T14:36:43.000Z,C3950,P003,Mechanical Keyboard,Electronics,2,89.99,179.98,Atlanta,Credit Card
TXN000125,2025-01-24T18:15:31.000Z,C3344,P010,Backpack,Accessories,4,49.99,199.96,Raleigh,Cash
TXN000126,2025-01-25T08:57:51.000Z,C8622,P008,Desk Lamp,Home,3,34.5,103.5,Dallas,Google Pay
TXN000127,2025-01-23T13:37:19.000Z,C7951,P003,Mechanical Keyboard,Electronics,1,89.99,89.99,Raleigh,Cash
TXN000128,2025-01-26T15:06:15.000Z,C7248,P004,Notebook,Office Supplies,4,6.75,27,Orlando,Cash
TXN000129,2025-01-20T21:42:25.000Z,C5497,P012,Running Shoes,Apparel,3,79.99,239.96999999999997,Orlando,Credit Card
TXN000130,2025-01-25T15:53:57.000Z,C5689,P015,Headphones,Electronics,5,59.99,299.95,Orlando,Cash
TXN000131,2025-01-24T12:43:48.000Z,C3240,P004,Notebook,Office Supplies,2,6.75,13.5,Dallas,Credit Card
TXN000132,2025-01-20T17:23:46.000Z,C3153,P005,Ballpoint Pen Pack,Office Supplies,4,8.49,33.96,Nashville,Cash
TXN000133,2025-01-21T11:08:50.000Z,C9837,P012,Running Shoes,Apparel,4,79.99,319.96,Orlando,Google Pay
TXN000134,2025-01-26T10:16:58.000Z,C8894,P015,Headphones,Electronics,3,59.99,179.97,Dallas,Cash
TXN000135,2025-01-23T09:09:48.000Z,C4696,P013,Yoga  Mat,Fitness,1,29.99,29.99,Orlando,Cash
TXN000136,2025-01-20T12:34:07.000Z,C8451,P002,Usb-c Cable,Electronics,4,12.5,50,Dallas,Cash
TXN000137,2025-01-26T18:23:06.000Z,C4830,P010,Backpack,Accessories,4,49.99,199.96,Charleston,Google Pay
TXN000138,2025-01-22T17:14:41.000Z,C2035,P015,Headphones,Electronics,5,59.99,299.95,Dallas,Cash
TXN000139,2025-01-20T10:02:02.000Z,C5986,P011,T-shirt,Apparel,4,18,72,Charleston,Credit Card
TXN000140,2025-01-21T14:29:23.000Z,C9850,P004,Notebook,Office Supplies,5,6.75,33.75,Orlando,Debit Card
TXN000141,2025-01-25T09:53:31.000Z,C7686,P015,Headphones,Electronics,4,59.99,239.96,Charleston,Cash
TXN000142,2025-01-23T11:54:23.000Z,C2627,P004,Notebook,Office Supplies,4,6.75,27,Orlando,Cash
TXN000143,2025-01-22T11:07:54.000Z,C8450,P001,Wireless Mouse,Electronics,4,24.99,99.96,Dallas,Debit Card
TXN000144,2025-01-20T08:50:21.000Z,C4990,P011,T-shirt,Apparel,5,18,90,Orlando,Debit Card
TXN000145,2025-01-21T17:13:52.000Z,C4817,P002,Usb-c Cable,Electronics,5,12.5,62.5,Atlanta,Google Pay
TXN000146,2025-01-26T10:08:34.000Z,C5106,P001,Wireless Mouse,Electronics,3,24.99,74.97,Charleston,Credit Card
TXN000147,2025-01-22T20:50:15.000Z,C6304,P003,Mechanical Keyboard,Electronics,1,89.99,89.99,Atlanta,Cash
TXN000148,2025-01-25T14:33:07.000Z,C2041,P001,Wireless Mouse,Electronics,2,24.99,49.98,Raleigh,Cash
TXN000149,2025-01-20T15:32:14.000Z,C1710,P009,Phone Charger,Electronics,5,16.99,84.94999999999999,Raleigh,Credit Card
TXN000150,2025-01-26T14:27:43.000Z,C2768,P001,Wireless Mouse,Electronics,4,24.99,99.96,Dallas,Apple Pay
