transaction_date,customer_id,product_name,total_transactions,total_revenue,avg_transaction_value,total_quantity_sold
2025-01-17T08:33:12.000Z,C2402,Running  Shoes,1,239.96999999999997,239.96999999999997,3
2025-01-17T11:16:02.000Z,C8144,Usb-c Cable,1,50,50,4
2025-01-16T18:15:17.000Z,C8206,Yoga Mat,1,149.95,149.95,5
2025-01-25T14:33:07.000Z,C2041,Wireless Mouse,1,49.98,49.98,2
2025-01-10T15:16:57.000Z,C1832,Notebook,1,20.25,20.25,3
2025-01-18T21:40:15.000Z,C2669,Usb-c Cable,1,62.5,62.5,5
2025-01-08T08:37:35.000Z,C4770,Notebook,1,6.75,6.75,1
2025-01-11T16:09:17.000Z,C5616,Usb-c  Cable,1,12.5,12.5,1
2025-01-14T21:26:24.000Z,C1320,Water  Bottle,1,19.99,19.99,1
2025-01-22T17:14:41.000Z,C2035,Headphones,1,299.95,299.95,5
2025-01-24T16:47:56.000Z,C3236,Water Bottle,1,39.98,39.98,2
2025-01-25T20:24:24.000Z,C3492,Running Shoes,1,319.96,319.96,4
2025-01-17T10:15:08.000Z,C8758,Notebook,1,6.75,6.75,1
2025-01-19T11:44:30.000Z,C9041,Desk Lamp,1,172.5,172.5,5
2025-01-15T13:57:34.000Z,C2320,Notebook,1,20.25,20.25,3
2025-01-12T12:05:54.000Z,C4814,Wireless Mouse,1,49.98,49.98,2
2025-01-06T17:27:02.000Z,C1488,T-shirt,1,90,90,5
2025-01-10T09:24:24.000Z,C8668,Yoga Mat,1,119.96,119.96,4
2025-01-20T15:32:14.000Z,C1710,Phone Charger,1,84.94999999999999,84.94999999999999,5
2025-01-23T11:54:23.000Z,C2627,Notebook,1,27,27,4
2025-01-18T21:29:04.000Z,C4824,Ballpoint Pen Pack,1,25.47,25.47,3
2025-01-17T17:20:48.000Z,C8251,T-shirt,1,90,90,5
2025-01-11T17:27:57.000Z,C7543,Phone Charger,1,50.97,50.97,3
2025-01-26T10:16:58.000Z,C8894,Headphones,1,179.97,179.97,3
2025-01-24T08:48:43.000Z,C5415,T-shirt,1,90,90,5
2025-01-06T18:27:22.000Z,C7939,Notebook,1,6.75,6.75,1
2025-01-15T19:37:48.000Z,C9595,Running Shoes,1,319.96,319.96,4
2025-01-09T18:41:23.000Z,C8177,Running Shoes,1,239.96999999999997,239.96999999999997,3
2025-01-16T15:21:11.000Z,C1841,Ballpoint Pen Pack,1,33.96,33.96,4
2025-01-07T15:24:17.000Z,C4598,Phone Charger,1,33.98,33.98,2
2025-01-20T13:50:03.000Z,C5806,Headphones,1,59.99,59.99,1
2025-01-25T10:19:35.000Z,C1224,Yoga  Mat,1,59.98,59.98,2
2025-01-23T09:41:53.000Z,C3522,Protein Bar,1,2.49,2.49,1
2025-01-26T14:27:43.000Z,C2768,Wireless Mouse,1,99.96,99.96,4
2025-01-30T19:27:11.000Z,C3116,Usb-c  Cable,1,12.5,12.5,1
2025-01-28T16:15:19.000Z,C8684,Ballpoint  Pen  Pack,1,33.96,33.96,4
2025-02-02T19:03:18.000Z,C6119,Protein Bar,1,9.96,9.96,4
2025-02-01T21:13:27.000Z,C8398,Protein  Bar,1,12.450000000000001,12.450000000000001,5
2025-01-30T14:46:06.000Z,C6120,Protein  Bar,1,9.96,9.96,4
2025-01-31T14:29:37.000Z,C1672,Backpack,1,249.95000000000002,249.95000000000002,5
2025-02-01T14:18:16.000Z,C3463,Usb-c Cable,1,62.5,62.5,5
2025-02-02T09:18:05.000Z,C3626,Running Shoes,1,399.95,399.95,5
2025-01-29T13:00:11.000Z,C3347,Ballpoint  Pen  Pack,1,25.47,25.47,3
2025-02-02T17:28:43.000Z,C6295,Desk Lamp,1,172.5,172.5,5
2025-01-27T13:19:11.000Z,C4509,Phone Charger,1,50.97,50.97,3
2025-01-31T11:51:27.000Z,C1430,Usb-c Cable,1,37.5,37.5,3
2025-01-30T15:02:03.000Z,C7041,Usb-c Cable,1,37.5,37.5,3
2025-02-01T21:08:48.000Z,C8685,Headphones,1,239.96,239.96,4
2025-01-27T19:33:13.000Z,C7163,Running  Shoes,1,79.99,79.99,1
2025-01-27T12:13:53.000Z,C3449,Headphones,1,59.99,59.99,1
2025-01-29T11:48:32.000Z,C2864,Desk Lamp,1,138,138,4
2025-01-29T11:36:26.000Z,C4068,Wireless Mouse,1,124.94999999999999,124.94999999999999,5
2025-01-29T11:24:05.000Z,C7142,Water  Bottle,1,99.94999999999999,99.94999999999999,5
2025-01-29T19:20:49.000Z,C2391,Mechanical Keyboard,1,269.96999999999997,269.96999999999997,3
2025-02-02T19:41:21.000Z,C3392,Headphones,1,59.99,59.99,1
2025-02-02T10:35:03.000Z,C6400,Running Shoes,1,239.96999999999997,239.96999999999997,3
2025-02-01T15:04:05.000Z,C2398,Coffee Mug,1,29.98,29.98,2
2025-01-27T18:32:36.000Z,C4963,Backpack,1,249.95000000000002,249.95000000000002,5
2025-01-30T16:42:19.000Z,C1744,Ballpoint  Pen  Pack,1,42.45,42.45,5
2025-01-30T14:49:21.000Z,C1857,Headphones,1,179.97,179.97,3
2025-02-01T15:02:26.000Z,C6968,Yoga  Mat,1,59.98,59.98,2
2025-01-28T18:30:14.000Z,C2773,Phone Charger,1,33.98,33.98,2
2025-01-28T12:13:49.000Z,C3248,Wireless Mouse,1,24.99,24.99,1
2025-01-27T11:52:28.000Z,C6727,Mechanical Keyboard,1,359.96,359.96,4
2025-01-30T16:09:03.000Z,C8381,Coffee Mug,1,74.95,74.95,5
2025-01-30T08:20:10.000Z,C8538,Ballpoint Pen Pack,1,8.49,8.49,1
2025-01-29T19:52:41.000Z,C3419,Notebook,1,20.25,20.25,3
2025-01-29T12:41:44.000Z,C7421,T-shirt,1,36,36,2
2025-01-27T08:15:26.000Z,C8489,Notebook,1,20.25,20.25,3
2025-01-29T17:09:04.000Z,C3067,Usb-c Cable,1,12.5,12.5,1
2025-01-27T11:45:28.000Z,C8199,Phone Charger,1,33.98,33.98,2
2025-01-28T21:16:03.000Z,C8873,Yoga Mat,1,149.95,149.95,5
2025-01-28T17:24:09.000Z,C3658,Headphones,1,299.95,299.95,5
2025-01-30T09:55:20.000Z,C8033,Water  Bottle,1,19.99,19.99,1
2025-01-28T17:09:48.000Z,C2234,Ballpoint Pen Pack,1,16.98,16.98,2
2025-02-02T18:51:22.000Z,C2180,Phone  Charger,1,84.94999999999999,84.94999999999999,5
2025-01-28T14:37:25.000Z,C9584,Protein Bar,1,2.49,2.49,1
2025-01-30T18:50:21.000Z,C3093,Ballpoint Pen Pack,1,42.45,42.45,5
2025-02-02T12:49:24.000Z,C9239,Desk  Lamp,1,138,138,4
2025-01-30T18:19:50.000Z,C5500,Usb-c Cable,1,50,50,4
2025-01-30T17:33:18.000Z,C8433,Phone  Charger,1,50.97,50.97,3
2025-01-28T09:18:54.000Z,C2657,Notebook,1,13.5,13.5,2
2025-01-27T18:05:17.000Z,C8259,Yoga  Mat,1,149.95,149.95,5
2025-01-28T13:49:10.000Z,C2251,Running Shoes,1,239.96999999999997,239.96999999999997,3
