_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,Time dependent15,Time dependent16,_c17,_c18,Time dependent19,Time dependent20,_c21,_c22,Time dependent23,Independent24,_c25,_c26,Independent27,_c28,_c29,Independent30,Independent31,Independent32,Independent33,Independent34,Independent35,Independent36,Independent37,Independent38,Independent39,Independent40,_c41,_c42
null,null,null,null,null,null,null,null,null,null,null,9,Project-G-10,0.47,0.47,0.47,0.29,0.35,0.35,0.35,1.00,0.31,0.31,0.31,0.07,1.20,1.20,1.20,1.12,1.12,1.12,1.05,0.94,1,1.00721009413178,"31,797",11,"530,000,000",-0.0600000000000001,107.94,56.79,0.622047244094488,0.9236778886412
null,null,null,null,null,null,null,null,null,null,null,10,Project-G-11,0.57,0.57,0.57,0.33,0.41,0.41,0.41,1.00,0.39,0.39,0.39,0.08,1.24,1.24,1.24,1.05,1.05,1.05,1.02,0.97,1,1.02663729220909,"31,797",11,"530,000,000",-0.12,107.94,58.67,0.525984251968504,0.9210156277308
null,null,null,null,null,null,null,null,null,null,null,11,Project-G-12,0.62,0.62,0.62,0.37,0.45,0.45,0.45,1.00,0.44,0.44,0.44,0.09,1.22,1.22,1.22,1.03,1.03,1.03,0.97,0.95,1,1.02753855397557,"31,797",11,"530,000,000",0.68,107.94,58.73,0.478740157480315,0.93203355853
null,null,null,null,null,null,null,null,null,null,null,12,Project-G-13,0.76,0.76,0.76,0.78,0.83,0.80,0.82,1.04,0.66,0.64,0.65,0.09,1.03,1.03,1.03,1.26,1.26,1.26,1.08,0.86,1.04,1.01652313238534,"31,797",11,"530,000,000",0.37,107.94,57.76,0.333858267716535,0.9700448037676
null,null,null,null,null,null,null,null,null,null,null,13,Project-G-14,0.81,0.81,0.81,0.91,0.83,0.80,0.82,1.04,0.76,0.73,0.75,0.10,0.88,0.88,0.88,1.10,1.10,1.10,1.1,1,1.04,1.01822551572201,"31,797",11,"530,000,000",-0.0899999999999999,107.94,57.97,0.28503937007874,1.0413614407996
null,null,null,null,null,null,null,null,null,null,null,14,Project-G-15,0.86,0.86,0.86,0.97,1.02,0.96,0.99,1.07,0.81,0.76,0.78,0.11,0.99,0.99,0.99,1.26,1.26,1.26,1.14,0.9,1.07,1.02082916082516,"31,797",11,"530,000,000",0.74,107.94,58.47,0.237795275590551,1.0284960807272
null,null,null,null,null,null,null,null,null,null,null,15,Project-G-16,0.91,0.91,0.91,1.00,1.05,0.98,1.01,1.07,0.84,0.79,0.81,0.11,0.98,0.98,0.98,1.25,1.25,1.25,1.19,0.95,1.07,1.03104346084518,"31,797",11,"530,000,000",-0.62,107.44,59.47,0.188976377952756,1.0221752471048
null,null,null,null,null,null,null,null,null,null,null,16,Project-G-17,0.95,0.95,0.95,1.00,1.07,1.00,1.03,1.07,0.86,0.80,0.83,0.11,1.00,1.00,1.00,1.24,1.24,1.24,1.2,0.97,1.07,1.04856799519327,"31,797",11,"530,000,000",-2.06,107.44,61.04,0.143307086614173,1.0074900553804
null,null,null,null,null,null,null,null,null,null,null,17,Project-G-18,1.00,1.00,1.00,1.00,1.07,1.00,1.03,1.07,0.91,0.85,0.88,0.12,1.00,1.00,1.00,1.17,1.17,1.17,1.16,0.99,1.07,1.06008411776487,"31,797",11,"530,000,000",-0.14,107.44,62.06,0.0960629921259843,1.0398310483192
null,null,null,null,null,null,null,null,null,null,null,18,Project-G-19,1.05,1.05,1.05,1.00,1.07,1.00,1.03,1.07,0.93,0.87,0.90,0.13,1.00,1.00,1.00,1.15,1.15,1.15,1.14,0.99,1.07,1.05617865011015,"31,797",11,"530,000,000",-0.2,107.44,61.72,0.047244094488189,1.0343022797184
null,null,null,null,null,null,null,null,null,null,null,19,Project-G-20,1.09,1.09,1.09,1.00,1.07,1.00,1.04,1.07,0.95,0.88,0.92,0.14,1.00,1.00,1.00,1.13,1.13,1.13,1.12,0.99,1.07,1.04676547166032,"31,797",11,"530,000,000",-0.53,107.44,60.96,0,1.0266649214776
null,null,null,null,null,null,null,null,null,null,null,20,Project-G-21,1.14,1.14,1.14,1.00,1.07,1.00,1.04,1.07,0.99,0.89,0.94,0.16,1.00,1.00,1.00,1.12,1.12,1.12,1.11,0.99,1.07,1.04306028439816,"31,797",11,"530,000,000",-0.78,107.44,60.68,null,1.0536537103268
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,"7,707",2,14,16,1,2001-11-24,2003-10-20,695,"153,500,000",22,1,Project-H-1,0.05,0.05,0.05,0.03,0.01,0.01,0.01,1.00,0.03,0.03,0.03,0.00,0.40,0.40,0.40,0.34,0.34,0.34,0.49,1.47,1,0.99959831291424,"7,707",16,"153,500,000",0.99,99.46,55.37,1.05035971223022,0.902724328154
null,null,null,null,null,null,null,null,null,null,null,2,Project-H-2,0.10,0.10,0.10,0.06,0.07,0.07,0.07,1.00,0.06,0.06,0.06,0.01,1.09,1.09,1.09,1.22,1.22,1.22,1.38,1.14,1,1.00030126531432,"7,707",16,"153,500,000",-0.52,107.94,55.66,1.00575539568345,0.9316629610092
null,null,null,null,null,null,null,null,null,null,null,3,Project-H-3,0.14,0.14,0.14,0.11,0.10,0.10,0.10,1.00,0.09,0.09,0.09,0.01,0.96,0.96,0.96,1.09,1.09,1.09,1.71,1.57,1,1.00311307491464,"7,707",16,"153,500,000",-2.68,107.94,56.06,0.964028776978417,0.9424064857948
null,null,null,null,null,null,null,null,null,null,null,4,Project-H-4,0.18,0.18,0.18,0.14,0.12,0.12,0.12,1.00,0.11,0.11,0.11,0.02,0.80,0.80,0.80,1.04,1.04,1.04,1.44,1.38,1,1.00572404097208,"7,707",16,"153,500,000",-0.55,107.94,56.36,0.920863309352518,0.9475025912548
null,null,null,null,null,null,null,null,null,null,null,5,Project-H-5,0.23,0.23,0.23,0.18,0.12,0.12,0.12,1.00,0.14,0.14,0.14,0.02,0.66,0.66,0.66,0.85,0.85,0.85,1.18,1.38,1,1.010042177144,"7,707",16,"153,500,000",-0.0600000000000001,107.94,56.79,0.876258992805755,0.9884199499832
null,null,null,null,null,null,null,null,null,null,null,6,Project-H-6,0.31,0.31,0.31,0.22,0.22,0.22,0.22,1.00,0.21,0.21,0.21,0.03,1.01,1.01,1.01,1.05,1.05,1.05,0.99,0.95,1,1.02952400080337,"7,707",16,"153,500,000",-0.12,107.94,58.67,0.788489208633094,0.9618123587068
null,null,null,null,null,null,null,null,null,null,null,7,Project-H-7,0.36,0.36,0.36,0.26,0.26,0.26,0.26,1.00,0.24,0.23,0.24,0.04,0.98,0.98,0.98,1.08,1.09,1.08,1.23,1.14,1,1.03042779674633,"7,707",16,"153,500,000",0.68,107.94,58.73,0.745323741007194,0.9355359534528
null,null,null,null,null,null,null,null,null,null,null,8,Project-H-8,0.49,0.49,0.49,0.29,0.37,0.37,0.37,1.00,0.35,0.35,0.35,0.05,1.26,1.26,1.26,1.06,1.06,1.06,1.17,1.11,1,1.01938140188793,"7,707",16,"153,500,000",0.37,107.94,57.76,0.61294964028777,0.933599079204
null,null,null,null,null,null,null,null,null,null,null,9,Project-H-9,0.53,0.53,0.53,0.34,0.37,0.37,0.37,1.00,0.40,0.40,0.40,0.05,1.10,1.10,1.10,0.93,0.93,0.93,1.03,1.11,1,1.02108857200241,"7,707",16,"153,500,000",-0.0899999999999999,107.94,57.97,0.568345323741007,0.9815697148648
null,null,null,null,null,null,null,null,null,null,null,10,Project-H-10,0.58,0.58,0.58,0.38,0.45,0.45,0.45,1.01,0.44,0.43,0.44,0.06,1.18,1.18,1.18,1.03,1.03,1.03,1.22,1.18,1,1.02369953805985,"7,707",16,"153,500,000",0.74,107.94,58.47,0.525179856115108,0.9339250839272
null,null,null,null,null,null,null,null,null,null,null,11,Project-H-11,0.62,0.62,0.62,0.43,0.49,0.49,0.49,1.00,0.48,0.48,0.48,0.06,1.15,1.15,1.15,1.03,1.03,1.03,1.11,1.08,1,1.03394255874674,"7,707",16,"153,500,000",-0.62,107.44,59.47,0.480575539568345,0.9445900538704
null,null,null,null,null,null,null,null,null,null,null,12,Project-H-12,0.66,0.66,0.66,0.47,0.53,0.53,0.53,1.01,0.51,0.51,0.51,0.06,1.15,1.15,1.15,1.05,1.05,1.05,1.11,1.05,1,1.05151636874874,"7,707",16,"153,500,000",-2.06,107.44,61.04,0.438848920863309,0.9372168351248
null,null,null,null,null,null,null,null,null,null,null,13,Project-H-13,0.71,0.71,0.71,0.51,0.58,0.58,0.58,1.01,0.53,0.52,0.53,0.07,1.13,1.13,1.13,1.10,1.10,1.10,1.19,1.08,1.01,1.06306487246435,"7,707",16,"153,500,000",-0.14,107.44,62.06,0.39568345323741,0.9197307393912
null,null,null,null,null,null,null,null,null,null,null,14,Project-H-14,0.75,0.75,0.75,0.54,0.63,0.63,0.63,1.01,0.58,0.58,0.58,0.08,1.16,1.16,1.16,1.09,1.09,1.09,1.15,1.06,1,1.05914842337819,"7,707",16,"153,500,000",-0.2,107.44,61.72,0.351079136690647,0.91815917648
null,null,null,null,null,null,null,null,null,null,null,15,Project-H-15,0.79,0.79,0.79,0.60,0.70,0.70,0.70,1.01,0.63,0.62,0.62,0.09,1.15,1.15,1.15,1.12,1.12,1.12,1.13,1.01,1.01,1.04970877686282,"7,707",16,"153,500,000",-0.53,107.44,60.96,0.307913669064748,0.9297254712372
null,null,null,null,null,null,null,null,null,null,null,16,Project-H-16,0.84,0.84,0.84,0.66,0.76,0.76,0.76,1.01,0.71,0.70,0.70,0.10,1.15,1.15,1.15,1.08,1.08,1.08,1,0.93,1.01,1.04599317131954,"7,707",16,"153,500,000",-0.78,107.44,60.68,0.263309352517986,0.9679683908284
null,null,null,null,null,null,null,null,null,null,null,17,Project-H-17,0.88,0.88,0.88,0.72,0.84,0.83,0.83,1.02,0.76,0.75,0.76,0.11,1.16,1.16,1.16,1.10,1.10,1.10,1,0.9,1.01,1.05392649126331,"7,707",16,"153,500,000",0.13,107.44,61.45,0.220143884892086,0.9684093029472
null,null,null,null,null,null,null,null,null,null,null,18,Project-H-18,0.93,0.93,0.93,0.79,0.87,0.86,0.86,1.02,0.80,0.80,0.80,0.12,1.09,1.09,1.09,1.08,1.08,1.08,0.94,0.87,1.01,1.05894757983531,"7,707",16,"153,500,000",0.04,107.44,61.92,0.175539568345324,0.979710289176
null,null,null,null,null,null,null,null,null,null,null,19,Project-H-19,0.97,0.97,0.97,0.86,0.92,0.91,0.92,1.02,0.84,0.84,0.84,0.13,1.06,1.06,1.06,1.09,1.09,1.09,1.06,0.97,1.01,1.06075517172123,"7,707",16,"153,500,000",0.53,107.44,62.1,0.130935251798561,0.9709312239852
null,null,null,null,null,null,null,null,null,null,null,20,Project-H-20,1.01,1.01,1.01,0.89,0.99,0.97,0.98,1.02,0.87,0.85,0.86,0.14,1.08,1.08,1.08,1.14,1.14,1.14,1.09,0.95,1.02,1.06045390640691,"7,707",16,"153,500,000",1.46,107.44,62.09,0.0877697841726619,0.9532697085592
null,null,null,null,null,null,null,null,null,null,null,21,Project-H-21,1.06,1.06,1.06,0.99,1.01,0.99,1.00,1.02,0.94,0.93,0.94,0.14,1.00,1.00,1.00,1.07,1.07,1.07,1.01,0.95,1.02,1.06748343040771,"7,707",16,"153,500,000",-0.5,107.44,62.65,0.0431654676258993,1.0027319453104
null,null,null,null,null,null,null,null,null,null,null,22,Project-H-22,1.10,1.10,1.10,1.00,1.02,1.00,1.01,1.02,0.94,0.93,0.94,0.14,1.00,1.00,1.00,1.08,1.08,1.08,1.08,1,1.02,1.0902791725246,"7,707",16,"153,500,000",0.54,107.44,64.64,0,0.9744581431468
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,"10,087",3,14,17,1,2002-06-18,2004-07-06,749,"216,000,000",27,1,Project-I-4,0.18,0.18,0.18,0.10,0.10,0.10,0.10,1.00,0.10,0.10,0.10,0.00,1.00,1.00,1.00,1.01,1.01,1.01,0.89,0.88,1,0.990148263753414,"10,087",17,"216,000,000",0.37,107.94,57.76,0.894526034712951,0.9813299214692
null,null,null,null,null,null,null,null,null,null,null,2,Project-I-5,0.22,0.22,0.22,0.10,0.10,0.10,0.10,1.00,0.12,0.12,0.12,0.01,1.00,1.00,1.00,0.88,0.88,0.88,0.78,0.88,1,0.991806476785018,"10,087",17,"216,000,000",-0.0899999999999999,107.94,57.97,0.853137516688919,0.995512118148
null,null,null,null,null,null,null,null,null,null,null,3,Project-I-6,0.26,0.26,0.26,0.21,0.21,0.21,0.21,1.00,0.14,0.14,0.14,0.01,1.00,1.00,1.00,1.53,1.53,1.53,1.48,0.97,1,0.994342567303941,"10,087",17,"216,000,000",0.74,107.94,58.47,0.813084112149533,0.8693555996216
null,null,null,null,null,null,null,null,null,null,null,4,Project-I-7,0.30,0.30,0.30,0.24,0.24,0.24,0.24,1.00,0.17,0.17,0.17,0.02,1.00,1.00,1.00,1.41,1.41,1.41,1.34,0.95,1,1.00429184549356,"10,087",17,"216,000,000",-0.62,107.44,59.47,0.771695594125501,0.8748773647584
null,null,null,null,null,null,null,null,null,null,null,5,Project-I-8,0.34,0.34,0.34,0.28,0.28,0.28,0.28,1.00,0.20,0.20,0.20,0.02,1.00,1.00,1.00,1.37,1.37,1.37,1.13,0.82,1,1.02136168552478,"10,087",17,"216,000,000",-2.06,107.44,61.04,0.732977303070761,0.8854365974996
null,null,null,null,null,null,null,null,null,null,null,6,Project-I-9,0.38,0.38,0.38,0.32,0.32,0.32,0.32,1.00,0.23,0.23,0.23,0.03,1.00,1.00,1.00,1.40,1.40,1.40,1.25,0.9,1,1.03257900897386,"10,087",17,"216,000,000",-0.14,107.44,62.06,0.692923898531375,0.8566259878812
null,null,null,null,null,null,null,null,null,null,null,7,Project-I-10,0.42,0.42,0.42,0.36,0.36,0.36,0.36,1.00,0.26,0.26,0.26,0.04,1.00,1.00,1.00,1.36,1.36,1.36,1.26,0.92,1,1.02877487319547,"10,087",17,"216,000,000",-0.2,107.44,61.72,0.651535380507343,0.8499874015636
null,null,null,null,null,null,null,null,null,null,null,8,Project-I-11,0.46,0.46,0.46,0.38,0.38,0.38,0.38,1.00,0.30,0.30,0.30,0.04,1.00,1.00,1.00,1.26,1.26,1.26,1.22,0.97,1,1.01960593055014,"10,087",17,"216,000,000",-0.53,107.44,60.96,0.611481975967957,0.86877548354
null,null,null,null,null,null,null,null,null,null,null,9,Project-I-12,0.50,0.50,0.50,0.46,0.46,0.46,0.46,1.00,0.35,0.34,0.35,0.06,1.00,1.00,1.00,1.34,1.34,1.34,1.2,0.9,1,1.01599687865782,"10,087",17,"216,000,000",-0.78,107.44,60.68,0.570093457943925,0.8684044387828
null,null,null,null,null,null,null,null,null,null,null,10,Project-I-13,0.54,0.54,0.54,0.50,0.50,0.50,0.50,1.00,0.38,0.38,0.38,0.06,1.00,1.00,1.00,1.34,1.34,1.34,1.18,0.88,1,1.02370269215763,"10,087",17,"216,000,000",0.13,107.44,61.45,0.530040053404539,0.8720091074712
null,null,null,null,null,null,null,null,null,null,null,11,Project-I-14,0.58,0.58,0.58,0.56,0.58,0.58,0.58,1.00,0.40,0.40,0.40,0.07,1.03,1.03,1.03,1.46,1.46,1.46,1.2,0.82,1,1.0285797893094,"10,087",17,"216,000,000",0.04,107.44,61.92,0.488651535380507,0.8392275400156
null,null,null,null,null,null,null,null,null,null,null,12,Project-I-15,0.63,0.63,0.63,0.61,0.60,0.60,0.60,1.00,0.43,0.43,0.43,0.08,0.98,0.98,0.98,1.40,1.40,1.40,1.22,0.87,1,1.03033554428404,"10,087",17,"216,000,000",0.53,107.44,62.1,0.447263017356475,0.8375948227724
null,null,null,null,null,null,null,null,null,null,null,13,Project-I-16,0.67,0.67,0.67,0.67,0.65,0.65,0.65,1.00,0.47,0.47,0.47,0.09,0.97,0.97,0.97,1.38,1.38,1.38,1.2,0.87,1,1.03004291845494,"10,087",17,"216,000,000",1.46,107.44,62.09,0.407209612817089,0.8444046176744
null,null,null,null,null,null,null,null,null,null,null,14,Project-I-17,0.71,0.71,0.71,0.71,0.73,0.72,0.73,1.00,0.50,0.50,0.50,0.09,1.03,1.03,1.03,1.44,1.44,1.44,1.22,0.84,1,1.03687085446742,"10,087",17,"216,000,000",-0.5,107.44,62.65,0.365821094793057,0.8202666051984
null,null,null,null,null,null,null,null,null,null,null,15,Project-I-18,0.75,0.75,0.75,0.79,0.78,0.78,0.78,1.00,0.55,0.55,0.55,0.09,0.98,0.98,0.98,1.40,1.40,1.40,1.18,0.84,1,1.05901287553648,"10,087",17,"216,000,000",0.54,107.44,64.64,0.325767690253672,0.8338789618352
null,null,null,null,null,null,null,null,null,null,null,16,Project-I-19,0.79,0.79,0.79,0.85,0.83,0.83,0.83,1.00,0.58,0.57,0.57,0.09,0.98,0.98,0.98,1.45,1.45,1.45,1.22,0.84,1,1.09305501365587,"10,087",17,"216,000,000",-1.3,108.95,67.71,0.28437917222964,0.8070119620312
null,null,null,null,null,null,null,null,null,null,null,17,Project-I-20,0.83,0.83,0.83,0.89,0.87,0.87,0.87,1.00,0.61,0.60,0.61,0.10,0.98,0.98,0.98,1.44,1.44,1.44,1.21,0.84,1,1.15216543113539,"10,087",17,"216,000,000",-0.61,108.95,72.91,0.2456608811749,0.8027879617856
null,null,null,null,null,null,null,null,null,null,null,18,Project-I-21,0.87,0.87,0.87,0.91,0.93,0.93,0.93,1.00,0.61,0.61,0.61,0.11,1.02,1.02,1.02,1.51,1.51,1.51,1.25,0.83,1,1.18737807257121,"10,087",17,"216,000,000",-0.37,108.95,75.73,0.204272363150868,0.7627282874364
null,null,null,null,null,null,null,null,null,null,null,19,Project-I-22,0.91,0.91,0.91,0.93,0.93,0.93,0.93,1.00,0.63,0.63,0.63,0.12,1.00,1.00,1.00,1.48,1.48,1.48,1.22,0.82,1,1.17791650409676,"10,087",17,"216,000,000",0.11,108.95,74.84,0.162883845126836,0.7585490553032
null,null,null,null,null,null,null,null,null,null,null,20,Project-I-23,0.95,0.95,0.95,0.93,0.93,0.93,0.93,1.00,0.64,0.64,0.64,0.14,0.99,1.00,1.00,1.44,1.45,1.44,1.24,0.86,1,1.16962543893874,"10,087",17,"216,000,000",1.2,108.95,74.06,0.12283044058745,0.7536544684376
null,null,null,null,null,null,null,null,null,null,null,21,Project-I-24,0.99,0.99,0.99,0.98,0.97,0.97,0.97,1.00,0.66,0.66,0.66,0.14,0.99,0.99,0.99,1.48,1.48,1.48,1.22,0.82,1,1.16143191572376,"10,087",17,"216,000,000",0.15,108.95,73.27,0.0814419225634179,0.7276941826736
null,null,null,null,null,null,null,null,null,null,null,22,Project-I-25,1.03,1.03,1.03,1.00,0.99,0.99,0.99,1.00,0.67,0.67,0.67,0.15,0.99,0.99,0.99,1.48,1.48,1.48,1.22,0.82,1,1.18357393679282,"10,087",17,"216,000,000",1.2,108.95,74.96,0.041388518024032,0.71170307619
null,null,null,null,null,null,null,null,null,null,null,23,Project-I-26,1.07,1.07,1.07,1.00,1.00,1.00,1.00,1.00,0.68,0.68,0.68,0.16,1.00,1.00,1.00,1.47,1.47,1.47,1.19,0.81,1,1.19713226687476,"10,087",17,"216,000,000",1.64,108.95,76.15,0,0.70302858169528
null,null,null,null,null,null,null,null,null,null,null,24,Project-I-27,1.11,1.11,1.11,1.00,1.00,1.00,1.00,1.00,0.69,0.69,0.69,0.18,1.00,1.00,1.00,1.45,1.45,1.45,1.18,0.82,1,1.19576667967226,"10,087",17,"216,000,000",-0.78,108.95,76.03,null,0.68960281206696
null,null,null,null,null,null,null,null,null,null,null,25,Project-I-28,1.15,1.15,1.15,1.00,0.87,1.00,0.93,0.87,0.69,0.80,0.75,0.19,1.00,1.00,1.00,1.25,1.25,1.25,1.18,0.94,0.87,1.20396020288724,"10,087",17,"216,000,000",1.56,108.95,76.75,null,0.70313067476736
null,null,null,null,null,null,null,null,null,null,null,26,Project-I-29,1.20,1.20,1.20,1.00,0.82,1.00,0.91,0.87,0.69,0.80,0.75,0.19,0.95,1.00,0.98,1.18,1.25,1.22,1.25,1.06,0.87,1.19547405384315,"10,087",17,"216,000,000",0.0800000000000001,108.95,75.98,null,0.715988632846
null,null,null,null,null,null,null,null,null,null,null,27,Project-I-30,1.24,1.24,1.24,1.00,0.87,1.00,0.93,0.87,0.73,0.85,0.79,0.19,1.00,1.00,1.00,1.18,1.18,1.18,1.18,1,0.87,1.18864611783067,"10,087",17,"216,000,000",1.51,108.95,75.2,null,0.74315887847892
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
D,"3,479",1,10,11,1,2003-06-02,2004-09-30,486,"85,714,286",18,1,Project-J-2,0.11,0.11,0.11,0.05,0.05,0.05,0.05,1.00,- 0,- 0,- 0,0.01,1.00,1.00,1.00,1.00,ERROR:#DIV/0!,- 0,1,0,1,1.00758448540707,"3,479",11,"85,714,286",0.13,107.44,61.45,0.957564575645756,0.901635103556
null,null,null,null,null,null,null,null,null,null,null,2,Project-J-3,0.16,0.16,0.16,0.12,0.12,0.12,0.12,1.00,0.05,0.05,0.05,0.02,1.01,1.01,1.01,2.33,2.33,2.33,1,0,1,1.01238479262673,"3,479",11,"85,714,286",0.04,107.44,61.92,0.900369003690037,0.8993594205452
null,null,null,null,null,null,null,null,null,null,null,3,Project-J-4,0.22,0.22,0.22,0.20,0.20,0.20,0.20,1.00,0.09,0.09,0.09,0.04,1.00,1.00,1.00,2.18,2.18,2.18,1.32,0.61,1,1.01411290322581,"3,479",11,"85,714,286",0.53,107.44,62.1,0.843173431734317,0.8328860996296
null,null,null,null,null,null,null,null,null,null,null,4,Project-J-5,0.28,0.28,0.28,0.26,0.26,0.26,0.26,1.00,0.16,0.16,0.16,0.04,1.00,1.00,1.00,1.60,1.60,1.60,1.23,0.77,1,1.01382488479263,"3,479",11,"85,714,286",1.46,107.44,62.09,0.787822878228782,0.852135794316
null,null,null,null,null,null,null,null,null,null,null,5,Project-J-6,0.33,0.33,0.33,0.30,0.29,0.29,0.29,1.00,0.21,0.21,0.21,0.04,0.98,0.98,0.98,1.36,1.36,1.36,0.94,0.69,1,1.02054531490015,"3,479",11,"85,714,286",-0.5,107.44,62.65,0.730627306273063,0.8898041854772
null,null,null,null,null,null,null,null,null,null,null,6,Project-J-7,0.39,0.39,0.39,0.34,0.33,0.33,0.33,1.00,0.25,0.25,0.25,0.04,0.98,0.98,0.98,1.32,1.32,1.32,0.79,0.6,1,1.04233870967742,"3,479",11,"85,714,286",0.54,107.44,64.64,0.675276752767528,0.8868730960716
